GBManhattanDistances FeatureIds
0 26
0 33
1 33
0 33
0 17
1 17
2 17
2 17
3 17
3 17
2 17
1 17
0 17
0 32
0 32
0 32
0 32
0 6
1 6
1 6
2 6
2 6
1 6
0 6
0 47
0 47
1 47
2 47
3 47
4 47
4 47
5 47
5 47
5 47
3 22
3 22
4 22
4 22
4 22
4 22
3 22
2 22
1 22
0 22
0 38
1 38
2 38
2 38
1 38
1 38
0 38
0 26
1 26
2 26
2 26
2 26
2 26
2 26
2 26
1 26
0 26
0 33
1 33
0 33
0 17
1 17
2 17
2 17
3 17
3 17
3 17
2 17
1 17
0 17
0 32
0 32
0 32
0 6
1 6
1 6
2 6
1 6
1 6
0 6
0 47
0 47
1 47
2 47
3 47
4 47
4 47
5 47
5 47
5 47
2 22
2 22
3 22
3 22
3 22
3 22
2 22
1 22
0 22
0 34
0 34
0 38
1 38
2 38
2 38
1 38
0 38
0 26
1 26
2 26
2 26
2 26
1 26
1 26
1 26
1 26
0 26
0 33
0 33
0 17
1 17
2 17
3 17
3 17
4 17
3 17
2 17
1 17
0 17
0 32
1 32
1 32
1 32
0 32
0 6
0 6
1 6
1 6
0 6
0 47
1 47
1 47
2 47
3 47
4 47
5 47
5 47
6 47
6 47
6 47
2 22
2 22
3 22
3 22
3 22
3 22
2 22
1 22
0 22
0 22
0 38
0 38
1 38
2 38
2 38
1 38
0 38
0 26
1 26
1 26
1 26
1 26
1 26
1 26
1 26
1 26
0 26
0 33
0 33
0 17
1 17
2 17
3 17
3 17
4 17
4 17
3 17
2 17
1 17
0 17
0 32
1 32
1 32
0 32
0 6
0 6
1 6
0 6
0 6
0 47
1 47
1 47
2 47
3 47
4 47
5 47
5 47
6 47
6 47
6 47
1 22
1 22
2 22
2 22
2 22
2 22
1 22
0 22
0 34
1 34
1 34
0 34
0 38
1 38
2 38
1 38
0 38
0 26
1 26
1 26
1 26
1 26
0 26
0 26
0 26
0 26
0 8
0 8
0 8
0 17
1 17
2 17
3 17
4 17
4 17
3 17
2 17
1 17
0 17
0 32
1 32
2 32
2 32
1 32
0 32
0 32
0 6
0 6
0 48
0 48
0 47
1 47
2 47
3 47
4 47
5 47
5 47
5 47
5 47
5 47
1 22
1 22
2 22
2 22
2 22
2 22
1 22
0 22
0 34
0 34
0 34
0 34
0 38
1 38
2 38
1 38
0 38
0 26
0 26
0 26
0 26
0 26
0 26
0 26
0 26
0 26
0 8
0 8
0 8
0 17
1 17
2 17
3 17
4 17
5 17
4 17
3 17
2 17
1 17
0 17
0 32
1 32
2 32
1 32
0 32
0 32
0 6
0 48
0 48
0 48
0 47
1 47
2 47
3 47
4 47
5 47
5 47
5 47
5 47
5 47
0 22
0 22
1 22
1 22
1 22
1 22
0 22
0 34
1 34
2 34
2 34
1 34
0 34
0 38
1 38
1 38
0 38
0 26
0 26
0 26
0 26
0 26
0 14
0 14
0 14
0 14
0 8
1 8
1 8
0 8
0 17
1 17
2 17
3 17
4 17
3 17
2 17
1 17
0 17
0 32
1 32
2 32
3 32
2 32
1 32
1 32
0 32
0 48
1 48
1 48
0 48
0 47
1 47
2 47
3 47
4 47
4 47
4 47
4 47
4 47
0 22
0 22
1 22
1 22
1 22
1 22
0 22
0 34
1 34
1 34
1 34
1 34
0 34
0 38
1 38
1 38
0 38
0 14
0 14
0 14
0 14
0 14
0 14
0 14
0 14
0 14
0 8
1 8
0 8
0 17
1 17
2 17
3 17
4 17
4 17
3 17
2 17
1 17
0 17
0 32
1 32
2 32
3 32
2 32
1 32
0 32
0 48
1 48
1 48
1 48
0 48
0 47
1 47
2 47
3 47
4 47
4 47
4 47
4 47
4 47
0 1
0 1
0 22
0 22
0 22
0 22
0 34
1 34
2 34
3 34
3 34
2 34
1 34
0 34
0 38
0 38
0 38
0 14
0 14
0 14
0 14
0 14
1 14
1 14
1 14
0 14
0 8
1 8
1 8
0 8
0 17
1 17
2 17
3 17
4 17
3 17
2 17
1 17
0 17
0 32
1 32
2 32
3 32
3 32
2 32
1 32
0 32
0 48
1 48
2 48
1 48
0 48
0 47
1 47
2 47
3 47
3 47
3 47
3 47
3 47
0 1
0 1
0 22
0 22
0 22
0 22
0 34
1 34
2 34
2 34
2 34
2 34
1 34
0 34
0 38
0 38
0 38
0 14
1 14
1 14
1 14
1 14
1 14
1 14
1 14
0 14
0 8
1 8
1 8
0 8
0 17
1 17
2 17
3 17
4 17
3 17
2 17
1 17
0 17
0 32
1 32
2 32
3 32
2 32
1 32
0 32
0 48
1 48
2 48
2 48
1 48
0 48
0 47
1 47
2 47
3 47
3 47
3 47
3 47
3 47
1 1
1 1
0 1
0 1
0 1
0 34
1 34
1 34
1 34
2 34
2 34
2 34
2 34
1 34
0 34
0 34
0 14
1 14
1 14
1 14
1 14
1 14
2 14
2 14
1 14
0 14
0 8
1 8
2 8
1 8
0 8
0 17
1 17
2 17
3 17
3 17
2 17
1 17
0 17
0 32
1 32
2 32
3 32
2 32
1 32
0 32
0 48
1 48
2 48
3 48
